Epoch,Average Loss,accuracy_score,roc_auc_score,average_precision_score,mean_absolute_percentage_error,f1_score,r2_score,recall_Score,cohen_kappa_score
1,0.8068149154836481,0.5967803031206131,0.5134476900100708,0.650177724794908,199915.98615056818,0.623084610294212,-1.1500534171407872,0.7565490584481847,0.029002320766448975
2,0.7225932183590802,0.612689394029704,0.5003030305558985,0.6560589283704757,218369.71690340908,0.6509838310155002,-0.867016461762515,0.8060606062412262,0.0005347593264146285
3,0.7089912265539169,0.6140151516957717,0.5,0.6911661164327101,225977.83821022726,0.6649168117479844,-0.8960336045785384,0.8272727272727273,0.0
4,0.7099850337613712,0.6174242426048625,0.5038961042057384,0.7165036442604932,211409.08771306818,0.6485693327405236,-0.8990758148106661,0.8,0.007917888598008588
5,0.6939332697879185,0.6630681818181818,0.5759760168465701,0.7469850136475129,184537.79712357954,0.7325140683488413,-0.6660798175768419,0.8196648831394586,0.15325350382111289
6,0.666161462393674,0.6367424244230444,0.519503931294788,0.7549071796915748,218531.56762547357,0.7099603268233212,-0.772237194668163,0.8482863615859638,
7,0.5799465837803754,0.7106060607866808,0.6098793999715285,0.7905481045896356,167540.87909564402,0.7925091542980888,-0.4853582582690499,0.8668691954829476,
8,0.6050099548968402,0.7123106062412262,0.6444355883381584,0.7854789557782087,157828.37916666677,0.7794065713882447,-0.4937807868827473,0.8589325098828836,0.30820087844675237
9,0.5713001084598628,0.750378788059408,0.6798686742782593,0.81249416931109,155076.46669034092,0.8207582755522295,-0.25001692230051215,0.9042503486980091,0.3707928115671331
10,0.5267072217030959,0.7511363636363636,0.6709503962235017,0.8378725463693792,154914.5905184659,0.8257140224630183,-0.24733828739686445,0.9043250463225625,0.3598718995397741
11,0.5431056762283498,0.7659090909090909,0.695709802345796,0.8268186005679043,146335.2028409091,0.8310840411619707,-0.17478387680920687,0.9136057628826662,0.4128510128368031
12,0.5425215624950149,0.7592803031206131,0.6982129064473239,0.8176693490960382,152162.7087002841,0.8304776692932302,-0.2432711427861994,0.9178363581950014,0.4015814716165716
13,0.5338452821428126,0.7607954545454545,0.6617981368845159,0.8282721736214378,153943.33203125,0.8320861068638888,-0.20107415101744913,0.9169783142479984,
14,0.5535961145704443,0.7679924244230444,0.6934976971962236,0.816233278946443,148763.32578125,0.8397307674993169,-0.22906726978041908,0.9241887669671666,0.4102656619115309
15,0.5330863284116442,0.7570075758478858,0.6802239030599594,0.8242717003280466,144878.33686079545,0.8177664756774903,-0.22133722034367648,0.8933049570430409,0.38360185406424785
